x,y
129477.3, 475735.5
129471.2, 475730.9
129481.8, 475703.6
129466.6, 475696.0
129472.7, 475662.6
129565.4, 475652.0
129603.3, 475653.5
129597.3, 475703.6
129608.0, 475756.7
129614.1, 475759.7
129611.0, 475777.9
129585.2, 475777.9
129583.7, 475770.3
129547.2, 475771.9
129753.9, 475770.3
129686.9, 475667.2
129699.1, 475670.2
129729.5, 475677.8
129735.5, 475652.0
129715.8, 475633.8
129709.7, 475632.3
129705.1, 475624.7
129723.3, 475592.9
129720.3, 475559.5
129711.1, 475517.0
129708.1, 475498.8
129700.8, 475494.7
129698.9, 475462.4
129698.9, 475445.7
129676.1, 475395.7
129686.7, 475387.7
129642.7, 475432.1
129616.8, 475426.0
129598.6, 475391.1
129647.3, 475511.0
129638.2, 475545.8
129624.5, 475536.7
129620.0, 475576.2
129610.9, 475609.6
129609.4, 475618.7
129486.3, 475583.8
129571.3, 475527.6
129565.3, 475530.7
129550.1, 475527.6
129521.2, 475509.4
129496.9, 475504.9
129487.8, 475507.9
129436.1, 475501.9
129490.7, 475450.3
129486.2, 475442.7
129486.2, 475412.4
129495.3, 475412.4
129545.4, 475415.4
129472.4, 475348.7
129490.7, 475341.1
129492.2, 475350.2
129502.8, 475350.2
129526.8, 475344.1
129531.7, 475353.2
129551.5, 475351.7
129590.9, 475336.5
129645.6, 475332.0
129671.5, 475338.0
129669.9, 475284.9
129663.8, 475254.6
129628.9, 475265.2
129622.8, 475265.2
129571.1, 475259.2
129563.6, 475283.4
129569.7, 475312.2
129542.3, 475277.4
129534.7, 475284.9
129495.2, 475324.4
129489.1, 475310.7
129492.1, 475288.0
129489.1, 475278.9
129481.5, 475283.4
129473.9, 475284.9
129445.0, 475283.4
129434.4, 475281.9
129475.4, 475237.9
129466.3, 475210.6
129473.9, 475207.6
129472.3, 475190.9
129472.3, 475183.3
129419.1, 475181.8
129437.3, 475148.4
129458.6, 475116.6
129466.2, 475119.6
129466.2, 475148.4
129508.7, 475142.4
129517.8, 475119.6
129536.1, 475092.3
129549.8, 475119.6
129565.0, 475121.1
129598.4, 475124.2
129610.5, 475080.2
129501.2, 475200.0
129519.4, 475209.1
129546.8, 475174.2
129589.3, 475189.4
129577.2, 475212.1
129653.1, 475187.9
129653.1, 475180.3
129621.1, 475040.7
129537.5, 475028.6
129460.0, 475022.5
129429.7, 475055.9
129458.5, 475063.5
129951.4, 475828.0
129959.0, 475831.0
129959.0, 475815.9
129946.7, 475656.6
129954.3, 475636.9
129986.2, 475611.1
129942.2, 475611.1
129946.7, 475605.0
129910.2, 475600.5
130044.0, 475608.0
130054.6, 475614.1
130085.4, 475609.9
130066.7, 475544.3
130056.1, 475536.7
129990.7, 475506.4
129961.8, 475492.8
129955.7, 475460.9
129948.1, 475473.0
129911.7, 475495.8
129946.7, 475550.4
129852.4, 475507.9
129873.7, 475483.7
129857.0, 475476.1
129843.3, 475463.9
129864.5, 475430.6
129855.4, 475429.0
129834.1, 475412.4
129958.7, 475407.8
129990.6, 475412.4
129990.6, 475356.2
129976.9, 475354.7
129937.4, 475371.4
129925.2, 475341.1
129820.4, 475333.5
129855.7, 475351.3
129862.9, 475324.4
129878.1, 475297.1
129869.0, 475266.7
129831.0, 475289.5
129817.7, 475315.3
130004.2, 475306.2
130034.6, 475313.8
130052.1, 475262.2
130058.9, 475260.7
130095.4, 475286.5
129975.3, 475265.2
129985.9, 475245.5
130005.7, 475197.0
129805.1, 475248.5
129840.1, 475234.9
129875.0, 475210.6
129794.4, 475189.4
129818.8, 475193.9
129805.1, 475162.1
129832.4, 475148.4
129795.9, 475137.8
129829.3, 475090.8
129851.7, 475069.5
130032.9, 475074.1
129839.9, 475028.6
129836.9, 475011.9
129800.4, 475022.5
129776.1, 475077.1
129777.6, 475066.5
129774.6, 475054.4
129773.1, 475043.8
129768.5, 475013.4
129767.0, 475005.8
128468.5, 470723.2
128560.8, 470576.0
128587.4, 470591.3
128767.7, 470486.9
128708.4, 470450.2
128698.1, 470450.3
128720.7, 470419.6
128757.6, 470346.0
128712.6, 470315.5
128690.0, 470306.4
128708.6, 470185.4
128331.6, 470264.2
128343.9, 470261.1
128325.4, 470230.5
128358.2, 470212.1
128386.9, 470199.8
128321.4, 470129.5
128341.9, 470120.3
128352.2, 470114.1
128368.6, 470108.0
128307.1, 470043.8
128324.6, 470036.9
128333.8, 470034.6
128397.3, 470002.3
128497.5, 470208.8
128569.4, 469942.3
128290.8, 469948.9
128276.5, 469915.3
128272.4, 469903.0
128340.0, 469927.4
128399.4, 469899.7
128588.0, 469844.3
128612.5, 469847.3
128672.0, 469841.0
128368.8, 469820.2
128397.5, 469804.8
128403.6, 469801.8
128479.4, 469758.7
128493.8, 469749.5
128504.0, 469740.3
128530.6, 469816.8
128528.6, 469758.7
128534.8, 469764.8
128538.9, 469725.0
128547.1, 469728.0
128565.5, 469724.9
128575.8, 469727.9
128604.4, 469727.9
128620.8, 469727.9
128641.3, 469724.8
128665.9, 469730.8
128633.1, 469776.8
128534.8, 469682.1
128547.1, 469660.6
128602.4, 469660.5
128614.7, 469660.5
128629.1, 469657.4
128647.5, 469660.5
128643.5, 469614.5
128336.1, 469740.7
128385.2, 469713.0
128438.5, 469679.2
128446.7, 469676.1
128495.9, 469648.5
128512.3, 469642.3
128217.2, 469789.9
128215.2, 469771.5
128223.4, 469737.8
128231.6, 469728.6
128241.8, 469731.6
128254.1, 469722.4
128280.8, 469704.0
128293.1, 469700.9
128319.7, 469682.5
128368.9, 469664.0
128336.2, 469593.7
128483.7, 469507.7
128547.2, 469510.6
128209.2, 469584.8
128239.9, 469569.4
128266.6, 469541.8
128311.6, 469523.3
128323.9, 469508.0
128334.3, 469406.9
128451.0, 469437.3
128557.6, 469397.3
128565.8, 469342.2
128494.1, 469302.5
128578.2, 469235.0
128557.7, 469189.1
128557.7, 469173.8
128541.4, 469127.9
128453.2, 469265.9
128389.7, 469229.3
128377.5, 469161.9
128381.6, 469131.3
128506.7, 468904.5
