2020/07/05, 8.049
2020/07/11, 8.173
2020/07/16, 8.225
2020/07/21, 8.235
2020/07/28, 8.410
2020/08/03, 8.301
2020/08/09, 8.259
2020/08/13, 8.236
2020/08/19, 8.501
2020/08/25, 8.526
2020/08/30, 8.485
2020/09/06, 8.676
2020/09/12, 8.558
2020/09/15, 8.557
2020/09/20, 8.145
2020/09/25, 8.092
2020/10/02, 8.175
2020/10/08, 8.241
2020/10/12, 8.157
2020/10/17, 7.908
2020/10/22, 7.816
2020/10/28, 7.933
2020/11/01, 7.911
2020/11/07, 7.743
2020/11/13, 7.759
2020/11/18, 7.799
2020/11/24, 7.695
2020/11/29, 7.682
2020/12/02, 7.803
2020/12/09, 7.397
2020/12/14, 7.210
2020/12/18, 7.094
2020/12/27, 7.181
2020/12/31, 6.819
2021/01/02, 6.521
2021/01/07, 6.306
2021/01/12, 6.282
2021/01/20, 6.181
2021/01/21, 6.225
2021/01/26, 6.099
2021/01/29, 6.172
2021/02/02, 6.017
2021/02/07, 6.000
2021/02/10, 5.787
2021/02/16, 5.667
2021/02/19, 5.719
2021/02/27, 5.578
2021/03/05, 5.659
2021/03/08, 5.777
2021/03/14, 6.047
2021/03/19, 6.051
2021/03/25, 6.092
2021/03/30, 6.059
2021/04/05, 6.126
2021/04/11, 6.325
2021/04/16, 6.219
2021/04/21, 6.263
2021/04/27, 6.359
2021/05/02, 6.450
2021/05/07, 6.616
2021/05/11, 6.707
2021/05/18, 7.124
2021/05/18, 7.011
2021/05/23, 6.969
2021/05/29, 7.099
2021/06/04, 7.193
2021/06/08, 7.177
2021/06/14, 7.625
2021/06/20, 7.800
2021/06/26, 8.016
2021/07/01, 8.113
2021/07/05, 7.879
2021/07/11, 7.829
2021/07/16, 7.762
2021/07/21, 7.685
2021/07/27, 7.744
2021/07/29, 7.871
2021/08/04, 7.917
2021/08/10, 8.057
2021/08/14, 7.991
2021/08/22, 8.289
2021/08/29, 8.059
2021/09/02, 8.010
2021/09/08, 7.916
2021/09/13, 7.941
2021/09/20, 7.852
2021/09/26, 7.868
2021/10/01, 7.999
2021/10/07, 8.074
2021/10/12, 7.999
2021/10/17, 7.978
2021/10/27, 7.948
2021/10/31, 7.895
