2020/01/03, 5.85
2020/01/09, 7.55
2020/01/11, 7.75
2020/01/14, 7.16
2020/01/16, 7.01
2020/01/23, 6.93
2020/01/26, 6.60
2020/01/29, 6.40
2020/01/29, 6.60
2020/01/30, 6.91
2020/02/02, 7.23
2020/02/09, 6.66
2020/02/09, 6.41
2020/02/12, 6.24
2020/02/17, 7.31
2020/02/19, 7.01
2020/02/25, 7.19
2020/02/25, 7.48
2020/02/25, 7.76
2020/03/01, 6.39
2020/03/01, 6.82
2020/03/02, 6.56
2020/03/09, 7.22
2020/03/12, 8.13
2020/03/14, 8.26
2020/03/19, 8.95
2020/03/24, 8.07
2020/03/30, 8.80
2020/04/02, 8.97
2020/04/05, 9.69
2020/04/10, 11.48
2020/04/12, 11.95
2020/04/12, 12.86
2020/04/15, 12.40
2020/04/15, 12.18
2020/04/19, 13.18
2020/04/24, 13.94
2020/04/27, 15.03
2020/05/01, 14.88
2020/05/03, 14.22
2020/05/03, 14.50
2020/05/05, 15.09
2020/05/10, 16.79
2020/05/10, 16.34
2020/05/10, 16.64
2020/05/13, 15.87
2020/05/14, 15.66
2020/05/15, 15.17
2020/05/16, 15.26
2020/05/18, 15.89
2020/05/18, 16.54
2020/05/19, 16.86
2020/05/21, 18.28
2020/05/23, 18.40
2020/05/24, 17.76
2020/05/25, 17.32
2020/05/25, 17.49
2020/05/27, 17.92
2020/05/29, 18.97
2020/05/29, 19.26
2020/05/31, 20.00
2020/06/05, 19.31
2020/06/06, 19.01
2020/06/08, 18.55
2020/06/15, 20.00
2020/06/21, 21.14
2020/06/21, 21.41
2020/06/24, 21.86
2020/06/24, 22.23
2020/06/27, 23.23
2020/06/27, 23.55
2020/06/28, 22.97
2020/06/29, 22.23
2020/07/02, 21.72
2020/07/04, 21.36
2020/07/04, 20.77
2020/07/09, 19.57
2020/07/09, 19.87
2020/07/14, 20.61
2020/07/15, 20.91
2020/07/17, 21.10
2020/07/23, 21.22
2020/07/26, 21.94
2020/07/27, 21.66
2020/07/28, 21.16
2020/07/29, 21.36
2020/07/30, 22.14
2020/08/02, 22.31
2020/08/02, 22.83
2020/08/03, 22.08
2020/08/04, 22.62
2020/08/07, 23.37
2020/08/10, 24.62
2020/08/10, 24.82
2020/08/13, 25.16
2020/08/15, 25.93
2020/08/19, 25.27
2020/08/19, 25.53
2020/08/23, 24.42
2020/08/25, 22.84
2020/08/25, 23.46
2020/08/25, 23.08
2020/08/29, 20.85
2020/08/29, 21.22
2020/08/31, 20.55
2020/09/02, 20.31
2020/09/03, 20.99
2020/09/05, 19.99
2020/09/07, 19.96
2020/09/12, 19.27
2020/09/13, 19.56
2020/09/16, 19.96
2020/09/19, 19.02
2020/09/25, 18.02
2020/09/29, 17.51
2020/09/29, 17.35
2020/10/03, 16.25
2020/10/03, 16.50
2020/10/03, 16.83
2020/10/07, 15.48
2020/10/08, 15.27
2020/10/11, 14.02
2020/10/13, 13.71
2020/10/17, 13.07
2020/10/21, 12.98
2020/10/26, 12.80
2020/11/02, 12.32
2020/11/02, 12.53
2020/11/02, 12.74
2020/11/04, 12.04
2020/11/06, 11.90
2020/11/08, 11.49
2020/11/12, 11.97
2020/11/16, 11.00
2020/11/21, 10.17
2020/11/21, 10.47
2020/11/22, 9.98
2020/11/28, 8.94
2020/12/01, 8.11
2020/12/06, 6.99
2020/12/09, 6.23
2020/12/19, 6.94
2020/12/23, 7.14
2020/12/24, 7.34
2020/12/27, 6.89
2020/12/31, 6.03
2021/01/07, 5.94
2021/01/10, 5.79
2021/01/13, 5.37
2021/01/17, 5.05
2021/01/21, 5.06
2021/01/28, 5.29
2021/01/30, 4.74
2021/01/31, 4.29
2021/02/04, 5.01
2021/02/06, 4.72
2021/02/07, 4.41
2021/02/07, 4.17
2021/02/10, 3.59
2021/02/10, 3.95
2021/02/11, 3.10
2021/02/11, 3.23
2021/02/14, 2.44
2021/02/14, 2.76
2021/02/16, 3.51
2021/02/16, 3.85
2021/02/20, 4.89
2021/02/22, 5.11
2021/02/23, 5.43
2021/02/23, 5.74
2021/02/23, 5.99
2021/02/23, 6.42
2021/02/24, 6.73
2021/03/03, 7.24
2021/03/04, 7.93
2021/03/05, 8.32
2021/03/05, 8.08
2021/03/06, 8.55
2021/03/08, 7.21
2021/03/09, 7.56
2021/03/10, 7.87
2021/03/15, 7.06
2021/03/15, 7.28
2021/03/20, 7.05
2021/03/23, 7.70
2021/03/23, 8.04
2021/03/25, 8.49
2021/03/26, 8.75
2021/03/27, 8.26
2021/03/30, 9.52
2021/04/01, 10.50
2021/04/01, 10.25
2021/04/01, 10.77
2021/04/04, 9.94
2021/04/07, 9.04
2021/04/13, 8.85
2021/04/13, 8.63
2021/04/16, 9.15
2021/04/17, 9.79
2021/04/20, 10.36
2021/04/20, 10.90
2021/05/10, 12.73
2021/05/16, 14.04
2021/05/17, 14.27
2021/05/20, 14.47
2021/05/20, 14.96
2021/05/25, 14.16
2021/05/29, 15.25
2021/05/30, 15.85
2021/06/01, 16.98
2021/06/02, 17.36
2021/06/05, 18.57
2021/06/08, 19.55
2021/06/09, 20.89
2021/06/11, 21.51
2021/06/13, 21.78
2021/06/15, 22.25
2021/06/16, 22.55
2021/06/18, 23.19
2021/06/21, 22.96
2021/06/21, 21.99
2021/06/23, 21.84
2021/06/24, 21.58
2021/06/25, 21.34
2021/06/27, 21.23
2021/07/12, 21.03
2021/07/15, 20.83
2021/07/21, 22.13
2021/07/21, 21.96
2021/07/21, 21.74
2021/07/22, 21.37
2021/07/27, 20.93
2021/07/28, 20.64
2021/08/10, 19.97
2021/08/15, 20.56
2021/08/20, 19.31
2021/08/21, 19.72
2021/08/25, 19.89
2021/09/07, 19.67
2021/09/14, 19.72
2021/09/15, 19.48
2021/09/22, 18.81
2021/09/25, 18.16
2021/09/27, 18.02
2021/09/29, 17.41
2021/09/29, 17.73
2021/09/30, 16.85
2021/10/01, 16.62
2021/10/04, 15.95
2021/10/06, 15.02
2021/10/19, 13.91
2021/10/23, 12.34
2021/10/25, 11.99
2021/11/03, 11.10
2021/11/07, 10.94
2021/11/10, 10.61
2021/11/10, 10.48
2021/11/21, 9.29
2021/11/23, 9.52
2021/11/23, 9.86
2021/11/27, 8.85
2021/11/27, 8.61
2021/11/28, 8.11
2021/11/30, 7.82
2021/12/01, 7.45
2021/12/03, 6.97
2021/12/07, 6.63
2021/12/08, 6.07
2021/12/12, 6.40
2021/12/12, 6.65
2021/12/14, 6.89
2021/12/18, 7.71
2021/12/20, 6.96
2021/12/22, 6.09
2021/12/24, 5.87
2021/12/26, 5.23
2021/12/28, 5.47
2021/12/30, 6.17
2021/12/31, 6.63
2022/01/05, 7.01
2022/01/07, 6.60
2022/01/12, 6.20
2022/01/14, 6.63
2022/01/18, 6.15
2022/01/19, 6.02
2022/01/24, 5.82
2022/01/26, 5.97
