1.00E+06	1.23E+00	8.97E-01	7.33E-01	6.36E-01	5.73E-01	5.34E-01	5.05E-01	4.85E-01	4.71E-01	4.60E-01
1.20E+00	7.14E-01	5.57E-01	4.71E-01	4.17E-01	3.82E-01	3.62E-01	3.46E-01	3.35E-01	3.28E-01	3.22E-01
7.53E-01	4.78E-01	3.79E-01	3.24E-01	2.90E-01	2.69E-01	2.57E-01	2.48E-01	2.42E-01	2.38E-01	2.36E-01
5.04E-01	3.23E-01	2.58E-01	2.22E-01	2.00E-01	1.87E-01	1.82E-01	1.77E-01	1.74E-01	1.72E-01	1.71E-01
3.38E-01	2.13E-01	1.70E-01	1.47E-01	1.34E-01	1.27E-01	1.25E-01	1.23E-01	1.21E-01	1.20E-01	1.20E-01
2.29E-01	1.40E-01	1.11E-01	9.71E-02	8.98E-02	8.58E-02	8.60E-02	8.50E-02	8.44E-02	8.42E-02	8.40E-02
1.41E-01	8.11E-02	6.41E-02	5.67E-02	5.33E-02	5.17E-02	5.31E-02	5.28E-02	5.27E-02	5.26E-02	5.26E-02
7.70E-02	4.03E-02	3.20E-02	2.91E-02	2.79E-02	2.72E-02	2.92E-02	2.92E-02	2.91E-02	2.91E-02	2.91E-02
3.39E-02	1.51E-02	1.24E-02	1.15E-02	1.11E-02	1.07E-02	1.28E-02	1.28E-02	1.28E-02	1.28E-02	1.28E-02
8.73E-03	2.81E-03	2.27E-03	1.87E-03	1.51E-03	1.18E-03	3.26E-03	3.26E-03	3.26E-03	3.26E-03	3.26E-03
1.11E-04	-3.59E-04	-7.86E-04	-1.18E-03	-1.53E-03	-1.86E-03	2.10E-04	2.10E-04	2.10E-04	2.10E-04	2.10E-04
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
