"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 1/31/24, 5:40:53 PM"


18
X,Y
-18.5865,7.42824,
-17.3213,7.43120,
-15.0210,7.40162,
-10.9103,5.33796,
-9.94414,5.34022,
-1.80343,1.31754,
-0.502313,0.679965,
0.498390,0.647359,
1.96901,1.33799,
10.7582,5.48172,
11.7014,5.46063,
16.2969,7.68438,
17.6656,7.68757,
18.9884,7.63242,
-17.2885,-6.98833,
17.6184,-6.97673,
-17.3094,-7.92017,
17.6089,-7.83867,
