"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 1/31/24, 5:43:17 PM"


17
X,Y
-14.9939,0.564607,
-15.0132,-1.07773,
-14.9983,-2.56858,
-15.0065,-4.00124,
-9.92163,0.506562,
-9.92865,-1.46188,
-9.94829,-2.94116,
-9.93265,-4.75813,
-4.99921,0.599584,
-4.98325,-1.35716,
-4.99033,-3.30231,
-4.99769,-5.11933,
0.110178,-0.599829,
0.0905418,-2.07911,
0.0939881,-3.59327,
0.0627976,-5.04928,
0.0777717,-6.57507,
